34.322334,-86.193529,4.9,4.8,6.3,5.1,4.8,3.3,4.8,3.0,4.3,3.0,4.1,5.0
31.304166,-86.386398,5.3,5.7,6.7,4.3,4.6,5.3,5.9,5.3,4.1,3.1,4.3,5.4
33.720373,-85.753344,5.1,5.1,6.3,5.3,4.3,3.7,4.5,3.9,3.6,2.7,3.7,4.8
34.393855,-86.365403,5.6,5.3,6.6,5.8,4.8,3.9,5.7,3.5,4.3,3.3,4.5,5.3
34.847364,-87.060696,5.0,4.8,6.6,5.0,5.1,4.4,4.9,3.4,4.0,3.7,4.7,6.0
31.119972,-87.470001,5.4,5.7,6.6,4.5,5.4,5.8,7.8,6.6,5.4,3.1,4.4,5.7
34.051848,-86.061397,5.3,5.0,6.5,5.6,4.7,3.8,5.1,3.4,3.5,2.9,4.3,5.4
32.592036,-85.518913,5.3,5.6,6.9,5.3,3.8,4.3,5.9,4.0,3.9,3.1,4.4,5.5
33.478989,-86.944763,5.7,5.3,6.7,5.1,4.9,4.4,5.4,4.0,4.3,3.1,4.7,5.7
33.544622,-86.929208,5.1,4.7,6.3,5.0,4.9,3.7,5.3,3.6,3.9,2.8,4.3,5.1
34.280737,-86.229092,4.9,4.8,6.3,5.1,4.8,3.3,4.8,3.0,4.3,3.0,4.1,5.0
31.129427,-87.096126,5.8,6.0,7.1,4.9,5.3,5.6,6.6,4.5,4.5,2.6,4.3,5.8
33.138832,-86.725315,5.7,5.5,6.8,5.4,4.3,4.4,5.3,3.7,3.9,2.7,4.1,5.3
31.998366,-87.351944,5.3,5.7,6.4,4.6,4.6,4.0,5.5,4.1,3.5,2.6,4.1,6.0
33.245885,-86.364148,5.6,5.3,7.0,5.3,4.6,4.1,4.9,4.3,3.9,3.0,3.9,5.4
32.886365,-86.648931,5.5,5.5,6.9,5.7,4.1,3.9,5.6,4.3,4.4,3.1,4.4,5.7
34.337295,-85.857690,5.3,5.3,6.3,5.1,4.7,3.8,4.7,3.3,4.5,3.1,4.4,5.5
33.181780,-87.383843,5.5,5.3,6.6,5.5,4.3,3.8,5.0,3.5,3.3,3.4,4.1,5.3
34.209766,-86.752029,5.1,4.7,6.4,5.3,4.8,4.1,4.9,4.0,4.3,3.3,4.4,5.3
31.272415,-85.705129,5.3,5.1,6.6,4.3,3.9,5.0,6.0,4.1,3.8,2.7,4.0,5.3
30.540328,-87.691200,5.0,6.1,6.1,4.1,5.4,6.6,7.3,6.7,5.7,3.3,4.3,4.9
34.495365,-86.829930,5.1,4.6,6.4,4.8,4.7,4.0,4.6,3.5,3.6,3.3,4.7,5.6
32.384949,-87.824556,5.5,5.3,6.3,5.4,4.3,3.4,4.8,4.1,3.5,3.3,4.1,5.3
31.219697,-85.482800,5.9,5.5,5.6,4.1,4.5,5.1,5.9,4.6,3.6,2.7,3.7,4.9
31.315846,-85.942956,5.3,5.1,6.6,4.3,3.9,5.0,6.0,4.1,3.8,2.7,4.0,5.3
31.914745,-85.389969,5.1,4.8,5.9,4.0,4.0,4.4,5.3,3.9,3.4,2.3,3.6,5.0
31.489241,-87.052004,5.8,6.0,7.1,4.9,5.3,5.6,6.6,4.5,4.5,2.6,4.3,5.8
33.475407,-86.925391,5.7,5.3,6.7,5.1,4.9,4.4,5.4,4.0,4.3,3.1,4.7,5.7
30.562883,-87.810464,5.0,6.1,6.1,4.1,5.4,6.6,7.3,6.7,5.7,3.3,4.3,4.9
30.467608,-87.692401,5.3,5.9,6.1,4.3,5.0,6.0,7.4,7.5,5.9,3.6,4.6,4.6
33.601739,-86.826491,5.1,4.7,6.3,5.0,4.9,3.7,5.3,3.6,3.9,2.8,4.3,5.1
33.959647,-85.973173,5.3,5.0,6.5,5.6,4.7,3.8,5.1,3.4,3.5,2.9,4.3,5.4
31.796729,-86.596233,5.5,5.7,6.6,4.4,4.1,4.5,5.3,4.7,4.3,2.4,4.3,5.3
34.344851,-86.275180,4.9,4.8,6.3,5.1,4.8,3.3,4.8,3.0,4.3,3.0,4.1,5.0
34.167583,-87.994648,5.3,5.1,6.5,5.5,5.7,4.1,4.8,3.9,4.5,3.3,5.0,6.0
33.627166,-85.502022,5.3,5.4,6.9,5.4,5.1,4.3,4.9,3.4,3.8,3.3,4.3,5.3
34.733898,-86.645592,5.3,4.9,6.6,4.9,5.1,4.1,4.9,3.5,4.1,3.3,4.9,5.9
33.818309,-87.235474,5.6,5.3,6.4,5.3,5.0,4.1,5.3,3.5,3.9,3.5,4.3,5.9
32.900173,-85.296659,4.8,5.4,5.7,5.0,3.7,3.5,5.9,3.3,3.1,2.8,3.7,5.3
33.518280,-86.584472,5.1,4.7,6.3,5.0,4.9,3.7,5.3,3.6,3.9,2.8,4.3,5.1
